"id","setting","identified","screen","latent","incidents","p_screen","p_ltbi","id_per_inc","screen_per_inc","latent_per_inc","screen_per_inc2","latent_per_inc2","total_cost","cost_per_id","cost_per_screen","cost_per_ltbi"
"Bootstrap021","other",109,74.5,2,2.5,0.95,0.06,53,32,1.5,50.35,3.02,10381.3526258219,95.2417672093753,139.347015111703,5190.67631291095
"Bootstrap022","commercial",16.5,16.5,1,2,0.95,0.05,10.5,9.5,0.38,9.97,0.5,3748.76248601421,227.197726425104,227.197726425104,3748.76248601421
"Bootstrap022","education",856,733,12,8,0.82,0.02,76.09,59.27,0.91,62.39,1.25,37298.1983953062,43.5726616767595,50.8843088612635,3108.18319960885
"Bootstrap022","factory/workplace",74.5,68.5,9.5,4.5,0.82,0.07,19.17,15.83,1.5,15.72,1.1,9917.87153205684,133.125792376602,144.786445723457,1043.98647705861
"Bootstrap022","hospital/clinic/care centre",22.5,21,0,2,0.84,0,11.25,10.5,0,9.45,0,3640.5825488912,161.803668839609,173.361073756724,Inf
"Bootstrap022","other",54,32,1.5,2.5,0.91,0.05,22.92,15.5,0.83,20.86,1.04,6122.39641331614,113.377711357706,191.324887916129,4081.59760887742
"Bootstrap023","commercial",26,19.5,0,3.5,0.93,0,10.5,9.5,0,9.77,0,6415.48886144438,246.749571594014,328.999428792019,Inf
"Bootstrap023","education",413.5,365,5,6,0.85,0.02,57.85,45.6,0.76,49.17,0.98,23883.387647775,57.7590995109433,65.4339387610275,4776.67752955501
"Bootstrap023","factory/workplace",63.5,46,5,5.5,0.88,0.1,13.2,12.4,1.43,11.62,1.16,11004.9148428607,173.305745556861,239.237279192624,2200.98296857214
"Bootstrap023","hospital/clinic/care centre",36,36,1,3,0.83,0.02,12,12,0.33,9.96,0.2,5576.69587900406,154.908218861224,154.908218861224,5576.69587900406
"Bootstrap023","other",287,206,6,5,0.9,0.03,28.7,20.8,0.6,25.83,0.77,14013.899433943,48.8289178883032,68.0286380288496,2335.64990565717
"Bootstrap024","commercial",26,24,2,4,0.85,0.07,13,11.5,0.75,11.05,0.77,7795.44019156342,299.824622752439,324.810007981809,3897.72009578171
"Bootstrap024","education",531.5,443.5,7,7.5,0.88,0.03,92.97,77.66,2.2,81.81,2.45,42654.0617322944,80.2522327982962,96.1760129251283,6093.43739032777
"Bootstrap024","factory/workplace",58.5,39.5,4,3.5,0.76,0.1,16.46,11.33,1.17,12.51,1.25,7200.05510319441,123.07786501187,182.279876030238,1800.0137757986
"Bootstrap024","hospital/clinic/care centre",25.5,18.5,0.5,1.5,0.78,0.03,10.3,8.1,0.3,8.03,0.24,2650.80649960027,103.953196062756,143.286837816231,5301.61299920054
"Bootstrap024","other",180,130,6,4.5,0.85,0.03,45.17,39.83,0.9,38.39,1.15,15551.7857114917,86.3988095082874,119.629120857629,2591.96428524862
"Bootstrap025","commercial",38,27,1,2,0.85,0.07,13,11,0.75,11.05,0.77,3897.72009578171,102.57158146794,144.360003547471,3897.72009578171
"Bootstrap025","education",769,603,7.5,6,0.83,0.02,122.64,94.91,1.9,101.79,2.04,45605.8511826982,59.3053981569547,75.6315940011579,6080.78015769309
"Bootstrap025","factory/workplace",95,74,6,4.5,0.83,0.09,20.04,16.4,1.9,16.63,1.5,10234.3641131269,107.730148559231,138.302217744958,1705.72735218782
"Bootstrap025","hospital/clinic/care centre",26.5,24.5,0,2.5,0.95,0,8.75,6,0,8.31,0,4400.93503836596,166.073020315697,179.630001565958,Inf
"Bootstrap025","other",117.5,86.5,3.5,2.5,0.86,0.06,42.25,21.08,1.5,36.34,2.18,8547.07069391896,72.741027182289,98.8100658256527,2442.02019826256
"Bootstrap026","commercial",38,29.5,2.5,4.5,0.82,0.08,13.25,10.88,0.6,10.87,0.87,8764.42167887385,230.642675759838,297.099039961825,3505.76867154954
"Bootstrap026","education",297,246.5,5.5,7,0.79,0.01,28.51,24.96,0.48,22.52,0.23,17427.9260838031,58.6798858040508,70.7015256949415,3168.71383341874
"Bootstrap026","factory/workplace",111.5,96.5,7.5,6.5,0.84,0.06,21.25,18.5,1.71,17.85,1.07,14993.2498721371,134.468608718719,155.37046499624,1999.09998295162
"Bootstrap026","hospital/clinic/care centre",29,23.5,2.5,3.5,0.81,0.04,8.25,6.92,0.54,6.68,0.27,5952.6475702261,205.263709318141,253.304151924515,2381.05902809044
"Bootstrap026","other",178,142,4,3,0.76,0.05,57,40.67,1,43.32,2.17,11350.4086700444,63.7663408429461,79.9324554228479,2837.6021675111
"Bootstrap027","commercial",39,36,3,2,0.98,0.06,13,11.33,0.67,12.74,0.76,4053.08327194326,103.925212101109,112.585646442868,1351.02775731442
"Bootstrap027","education",366,292,4.5,8,0.85,0.02,35.79,30.75,0.64,30.42,0.61,24202.5385502832,66.1271545089706,82.8854059941206,5378.34190006294
"Bootstrap027","factory/workplace",129,98,3.5,6.5,0.85,0.02,19.33,17.21,0.42,16.43,0.33,14221.1711983008,110.24163719613,145.113991819396,4063.19177094309
"Bootstrap027","hospital/clinic/care centre",27.5,21,0,2,0.84,0,12,12,0,10.08,0,3703.22791221126,134.662833171319,176.344186295774,Inf
"Bootstrap027","other",80.5,54.5,2,2,0.79,0.05,31.03,12.72,1.5,24.51,1.23,5306.60395653196,65.9205460438753,97.3688799363663,2653.30197826598
"Bootstrap028","commercial",12.5,11.5,0.5,1.5,0.96,0.01,10.5,9.5,0.25,10.08,0.1,2780.68048137071,222.454438509657,241.798302727888,5561.36096274141
"Bootstrap028","education",730.5,562.5,11.5,8.5,0.84,0.03,87.21,66.52,1.25,73.26,2.2,44697.8995374647,61.1880897158997,79.4629325110485,3886.77387282302
"Bootstrap028","factory/workplace",73.5,55,4,4.5,0.81,0.11,14.86,13,1.42,12.04,1.32,9159.02546578347,124.612591371204,166.527735741518,2289.75636644587
"Bootstrap028","hospital/clinic/care centre",22.5,19,0.5,1,0.96,0.01,16,16,0.12,15.36,0.15,2117.28621547752,94.1016095767788,111.43611660408,4234.57243095505
"Bootstrap028","other",118,97.5,2,5.5,0.83,0.06,20.27,16.33,0.9,16.82,1.01,12387.5808872032,104.979499044095,127.052111663622,6193.79044360159
"Bootstrap029","commercial",16,16,1,2,0.92,0.11,13,9.5,1,11.96,1.32,4052.722621441,253.295163840063,253.295163840063,4052.722621441
"Bootstrap029","education",372,311.5,6,6.5,0.83,0.03,58.7,50.74,0.84,48.72,1.46,25954.1632866039,69.7692561467847,83.3199463454379,4325.69388110065
"Bootstrap029","factory/workplace",65,45,1,6,0.78,0.01,14.75,11.25,0.11,11.51,0.12,11600.3245631529,178.466531740814,257.784990292287,11600.3245631529
"Bootstrap029","hospital/clinic/care centre",28.5,25.5,1,2.5,0.89,0.03,11.9,10.5,0.27,10.59,0.32,4738.80158431781,166.273739800625,185.835356247757,4738.80158431781
"Bootstrap029","other",133.5,77.5,3,3,0.86,0.06,37.62,15.5,1.5,32.35,1.94,9616.12782051227,72.0309200038372,124.079068651771,3205.37594017076
"Bootstrap030","commercial",28.5,26.5,1,2,0.93,0.04,13,11.5,0.25,12.09,0.48,3956.86495769805,138.837366936774,149.315658781058,3956.86495769805
"Bootstrap030","education",628.5,464.5,7.5,11,0.82,0.02,99.61,84.7,1.88,81.68,1.63,62120.6043080125,98.8394658838703,133.736500124892,8282.74724106833
"Bootstrap030","factory/workplace",55,50,4,2,0.76,0.08,19,14.5,1.14,14.44,1.16,4296.04276092123,78.109868380386,85.9208552184246,1074.01069023031
"Bootstrap030","hospital/clinic/care centre",36,28,1,3,0.78,0.02,10.33,9,0.33,8.06,0.16,5290.62373995626,146.961770554341,188.950847855581,5290.62373995626
"Bootstrap030","other",138,113.5,5,3,0.84,0.06,12.4,10.77,1.13,10.42,0.63,5726.91023536003,41.4993495315944,50.4573589018505,1145.38204707201
"Bootstrap031","commercial",18,12,1,2,0.92,0.08,11,8,0.25,10.12,0.81,3805.32249531168,211.406805295093,317.11020794264,3805.32249531168
"Bootstrap031","education",354.5,299.5,7,9.5,0.83,0.03,47.83,35.37,0.75,39.7,1.19,33504.3239048209,94.5114919741068,111.867525558667,4786.33198640298
"Bootstrap031","factory/workplace",50,44.5,9,3,0.74,0.11,16.67,14.4,1.77,12.34,1.36,6170.82072681412,123.416414536282,138.670128692452,685.646747423791
"Bootstrap031","hospital/clinic/care centre",54,42,2,3,0.86,0.03,10.33,9.67,0.5,8.88,0.27,5425.82978419058,100.478329336863,129.186423433109,2712.91489209529
"Bootstrap031","other",104,49,3,3,0.87,0.07,26.73,16.33,1,23.26,1.63,7826.63680272962,75.2561231031695,159.72728168836,2608.87893424321
"Bootstrap032","commercial",13.5,11.5,1,1.5,0.88,0.09,13,10.69,0.67,11.44,1.03,2975.45214308463,220.403862450713,258.73496896388,2975.45214308463
"Bootstrap032","education",594.5,458.5,9,9.5,0.81,0.03,55.8,47.28,1.25,45.2,1.36,36244.136299153,60.9657465082473,79.0493703362116,4027.12625546145
"Bootstrap032","factory/workplace",112,99,13.5,5,0.83,0.09,19.7,18,2.43,16.35,1.47,11292.180679166,100.823041778267,114.062431102686,836.457828086367
"Bootstrap032","hospital/clinic/care centre",64,64,0,3,0.94,0,16,16,0,15.04,0,6278.46317371503,98.1009870892973,98.1009870892973,Inf
"Bootstrap032","other",143,107.5,5,3,0.86,0.08,33.31,30.31,2,28.65,2.29,9132.49966690121,63.8636340342742,84.9534852734997,1826.49993338024
"Bootstrap033","commercial",35,29,0,3.5,0.76,0,10.8,8.2,0,8.21,0,6165.4174563041,176.154784465832,212.600601941521,Inf
"Bootstrap033","education",304.5,222,4.5,7,0.8,0.02,35.71,25.4,0.88,28.57,0.57,20557.4757481335,67.5122356260543,92.6012421087097,4568.32794402968
"Bootstrap033","factory/workplace",63,44.5,3.5,4,0.82,0.08,13.58,11.25,1,11.14,0.89,7849.52866929649,124.595693163436,176.39390268082,2242.72247694185
"Bootstrap033","hospital/clinic/care centre",35.5,34.5,1,2.5,0.91,0.03,11,10,0.25,10.01,0.3,4662.01402668119,131.324338779752,135.130841353078,4662.01402668119
"Bootstrap033","other",114,99,2,2,0.93,0.04,57,25.5,1,53.01,2.12,8458.69183357016,74.199051171668,85.4413316522238,4229.34591678508
"Bootstrap034","commercial",26,24,2,3,0.85,0.08,13,12,0.75,11.05,0.88,5867.77625850256,225.683702250099,244.490677437607,2933.88812925128
"Bootstrap034","education",329,289.5,4.5,7.5,0.81,0.02,51.11,42.2,0.93,41.4,0.83,26937.964945787,81.8783129051276,93.0499652704214,5986.21443239711
